text,label
— Кровь! какую кровь? — встревожилась,1
– Под нижнюю подушку.,0
— Благодарю-с...,1
— Когда же это-с?,1
"Старуха помолчала, как бы в раздумье,",1
"Он поднял глаза, вдумчиво посмотрел на",1
"– Voyons, chere princesse, – сказала",0
– Как он (он – неприятель),0
"Взволнованный и раздраженный этими мыслями, князь",0
"И он, казалось, распускался весь от",0
"— Теперь-то! О, что теперь делать!..",1
"– Прикомандирован, дежурю.",0
– Скажите! – сказала графиня.,0
"– Что, бг'ат, понюхал пог'оху?… –",0
"— Ну, полноте, кто ж у",1
"— Я ведь и не знал,",1
"— Это вы потому задираете, что",1
"— Хе-хе-хе! А-таки заметили, что я",1
"Ветер стих, черные тучи низко нависли",0
Соня запнулась и замолчала.,1
"По широкой, обсаженной деревьями, большой, бесшоссейной",0
"— О, не беспокойтесь, пожалуйста, —",1
"— Я вам одну вещь, батюшка",1
— Молчите! Не спрашивайте! Вы не,1
Губка Лизы опустилась. Она приблизила свое,0
"— А знаешь что, Разумихин? Посмотрю",1
"— Нет, ты как-нибудь да увлекся!",1
"– Об вашем деле, – обратился",0
"«Так, верно, те, которых ведут на",1
"– Здесь, – отвечал лакей смелым,",0
«Боже мой! что бы со мной,0
– Это то и было бы,0
– А что?,0
– Нельзя. Зарок дал. Не пью,0
— Я бы в вашей комнате,1
"В приемной никого уже не было,",0
— После! Я спать хочу! Оставь,1
Каким-то холодом охватило вдруг Раскольникова при,1
— Извольте ма-а-а-лчать! Вы в присутствии.,1
"– Ах, душа моя! – отвечала",0
"(Видно было, что виконт ему не",0
"Что же касается пышной дамы, то",1
"– Нечего говорить! Ему велят, он",0
Полковой командир отыскал в рядах Долохова,0
– Отступать! Все отступать! – прокричал,0
"– Имею честь поздравить, генерал Мак",0
— А это не грех? —,1
Раскольников как будто обиделся.,1
"Видно было, как по скатам дымки",0
"— Но вы действительно, действительно сумасшедший!",1
"– Ils sont arrives, Marieie, [Они",0
Прошло минут пять. Он всё ходил,1
"Тушин встал и, застегивая шинель и",0
Прошло несколько минут суетни около высокой,0
"— Нечего связываться, — решил большой",1
"— И-и-и в бога веруете? Извините,",1
И всё слышались гибкие удары и,0
— И окончательно познаем друг друга?,1
"Ввечеру вернулся Долгоруков, прошел прямо к",0
"Она бросилась к Соне, обняла ее",0
- Да вовсе же нет! Я,1
"Увидав эту улыбку, Ростов сам невольно",0
Но тотчас же он вспомнил данное,0
"Но только что она вышла, он",1
"Гостья, принужденная любоваться семейною сценой, сочла",0
"– Mon cher, si vous vous",0
– А я так перевьючил себе,0
Виконт поклонился в знак покорности и,0
— Из шестого! Ах ты мой,1
"— Видите, Дмитрий Прокофьич...— начала она.",1
"– Не скажу, чтобы был не",0
— Это что же? — спросил,1
"— Стыдно, Родя, — сказала Дуня.",1
Только что Раскольников отворил дверь на,1
Соня вся вздрогнула от испуга.,1
И он взмахнул хлыстом. Раскольников бросился,1
"– Таинство, матушка, великое, – отвечало",0
"– Ты, что хочешь, думай! Я",0
"— Нет, ни за что не",1
"— А, ты вот куда заехал!",1
А Разумихин глянул наконец пободрее на,1
"— Вы всё лжете, — проговорил",1
"– Une lecon de geographie, [Урок",0
Кутузов со свитой возвращался в город.,0
"— А правда ль, что вы,",1
"И, подойдя к кровати, из под",0
"– Всё скажет завещание, мой друг;",0
— Ничего; пойдем; ты будешь свидетелем...,1
Скоро после отъезда князя Багратиона Тушину,0
— Не язвите меня! Я не,1
Раскольников задумался. Как во сне ему,1
Никого на лестнице! Под воротами тоже.,1
"– Нет, я знаю что.",0
"Борис внимательным, ласковым взглядом смотрел в",0
"– Она самая, – послышался в",0
"– Ну знаете, и прекрасно, и",0
"Князь Василий исполнил обещание, данное на",0
— Как это вы так заметливы?..,1
— А ведь он будет потолковее,1
"— О, на самой простейшей-с! —",1
"— Сейчас очнулся, — сказала Настасья.",1
– Хоть бы попугать этих монашенок.,0
— Непременно закладчик! — поддакнул Разумихин.,1
— Что делаешь?,1
"– Прощай, душа моя, – сказала",0
"– Princesse, il faut que je",0
"— Но напротив же, напротив! Если",1
"– Мало надежды, – сказал князь.",0
"– У каждого своя Ахиллесова пятка,",0
"– Это болезнь, иначе нельзя объяснить,",0
"Было то время перед званым обедом,",0
Оторвав по солдатски эти последние слова,0
"колпак и, взмахнув им над головой,",0
"– Вот что, мой милый, –",0
С криком вырвался кто-то внизу из,1
"— А я думал, вы опять",1
— У дворника не спросить ли?,1
"Он бы, кажется, так и задушил",1
Раскольников сидел и слушал молча и,1
И штаб ротмистр встал и отвернулся,0
В это время позади Кутузова послышались,0
"— Это? Это дети, бланбеки, а",1
Напоминая теперь с горечью Дуне о,1
– Напрасно он так много людей,0
— Не понимаете вы меня! —,1
"Князь Андрей почувствовал, что либо из",0
— Самый дальний какой-то; да ты,1
— Как? Так вот ка-а-к-с! —,1
"— Ну да, да, да, —",1
– Жене не отдавать? – сказал,0
В комнате было полутемно; только две,0
"Он, однако ж, не то чтоб",1
"— А коль так-с, то неужели",1
Анна Михайловна в коротких словах рассказала,0
"Дойдя до таких выводов, он решил,",1
"— Раскольников? Там. А что? Да,",1
"– Ну, что ж, к столу,",0
"— Ни слова тут, или я",1
— Как? Что такое? Право на,1
"— Это было не в бреду,",1
"– Мы после поговорим, – сказала",0
"Император Франц принял его, стоя посредине",0
"– Что вы хотите, чтоб я",0
Он взял князя Василья под руку,0
"– А я думаю, что кончена.",0
"– Но особенно хорошо, – говорил",0
Генералы проходили с видом желания избавиться,0
Дико и с напряжением продолжал приглядываться,1
Дуня же была ему просто необходима;,1
"– Ayez confiance en Sa misericorde,",0
"– За то, что не просрочиваешь,",0
"— Так-с, — прибавил он еще",1
"— Экой грех! Господи, грех-то какой!",1
Вин во множественном числе и многоразличных,1
"— Торжествуют при жизни? О да,",1
"— Я думаю, что у него",1
"– Вы сказали, господин штаб офицер,",0
"– Честь имею явиться, – повторил",0
"– Задали, брат, жару. Теперь не",0
"Но Анна Михайловна сделала несколько шагов,",0
Николай опять помолчал капельку.,1
Раскольников поджидал его в конце коридора.,1
"– Не люблю у своих занимать,",0
"Раскольников протеснился, по возможности, и увидал",1
Тот уже входил в комнаты. Он,1
— Чего ты? — крикнул Порфирий,1
— А что отвечал в Москве,1
"— Ну а коль вы, еще",1
"– Не обязан переносить оскорбления, –",0
"Анатоль повернулся к англичанину и, взяв",0
— Такова уж черта моя! Знаете,1
— Да ведь я божьего промысла,1
Адъютант Бонапарте еще не приехал в,0
– Сomme c'est un homme d'esprit,0
В это время в девичьей не,0
Государь с улыбкой обратился к одному,0
— Завтра-то я бы его и,1
"— Босенькая! Босенькая! — бормотал он,",1
"— Хорошо; говорите, но скорее!",1
– Ильи Андреича сын? – сказал,0
Давно уже незнакомое ему чувство волной,1
— Нельзя ли как-нибудь обойти всякий,1
— Так как же вы про,1
"— Нет, нет; зачем же вам",1
— А почти все закладчики теперь,1
— Мне принесли всего четверть часа,1
"— Извините, сударь, — дрожа со",1
"— Он закладчиков спрашивал, а там",1
– Monsieur le baron de Funke,0
"— Да ничего, чай, водка, селедка.",1
— Да я... никому не должен!,1
– Соооня! Одно слово! Можно ли,0
"– Ты полагал! – закричал князь,",0
— О треклятая жизнь!,1
"Князь Василий вопросительно посмотрел на княжну,",0
"— Так-с. Так вот, по чувству",1
"По арфе золотой бродя,",0
"«Нет, те люди не так сделаны;",1
"— Я, может, на себя еще",1
В мертвой тишине слышался топот только,0
"В середине его рассказа, в то",0
"— А что ж, оно в",1
"— Да что вы так смотрите,",1
"— Как ты смеешь, каналья!..",1
"— Это, брат, славно, — повторял",1
Он даже успел сунуть неприметно в,1
"«Господи Боже! Тот, Кто там в",0
"— Ах, что вы говорите!",1
"– Ecoutez, chere Annette, [Послушайте, милая",0
"— Позвольте, господа, позвольте; не теснитесь,",1
– Нарядные ребята! Только бы на,0
"Гости сидели за ужином. Княгиня Курагина,",0
"Раскольников в бессилии упал на диван,",1
"– Нет, я должен вас угостить",0
— Так не верите? А об,1
— И то! Секи ее!,1
В коридоре они столкнулись с Лужиным:,1
"– Всё о войне, – через",0
"— Вы правду говорите, что имеете",1
"– Несвицкий! Несвицкий! Ты, г'ожа! –",0
"— Так я скажу Катерине Ивановне,",1
Прошла еще ужасная минута. Оба всё,1
"Раскольников молчал, хотя ни на минуту",1
"Полковой командир был пожилой, сангвинический, с",0
"— И впрямь, может, болен, —",1
"— Вчера, я знаю. Я ведь",1
"– Я тебе говог'ю, чтоб был",0
– Старайтесь служить хорошо и быть,0
"– Очень хороша, – сказал князь",0
Тетушка приняла в свой уголок двух,0
Глаза его горели лихорадочным огнем. Он,1
Старик выходил из себя: с грохотом,0
– Et moi qui ne me,0
"— Нет, брат, право, заметно. На",1
"Молодой офицер, с выражением недоумения и",0
"Вопрос, почему он пошел теперь к",1
"– Сказался больным, завтг'а велено пг'иказом",0
"Он указывал на монастырь с башнями,",0
– Mais qu'on ne fasse pas,0
"— Чудён нынче стал народ, —",1
— Пусти! — сказал Раскольников и,1
"– Да, я это давно знала,",0
— Брат! Что ты с матерью,1
"– Да, ma chere, – сказал",0
Долгоруков весело захохотал.,0
Мещанин не дал никакого ответа и,1
"Старшая, Вера, была хороша, была неглупа,",0
– Как что? – заговорил князь,0
— Что вы? — вскричал Раскольников.,1
"— Это правда, — как-то особенно",1
— А знаешь что? — вдруг,1
"Она перекрестилась, поцеловала образок и подала",0
"Казалось, гость совсем не удивился этому",1
"– Доложите князу, что я мост",0
"Молодой человек поспешил уйти, не говоря",1
"— А ведь кто знает! Может,",1
"– Да, от Жюли, – сказала",0
Лица солдат и офицеров повеселели при,0
"— Ну так что ж, что",1
— Добивай! — кричит Миколка и,1
